pm10,pm2_5,co,no2,o3,so2
6.0,6.0,2.0799999999999996,3.78,20.919999999999998,2.7399999999999998
12.0,23.0,2.7,2.3,31.0,0.4
11.0,27.0,1.2,9.7,28.9,0.8
79.0,117.0,3.7,6.1,63.3,6.3
23.0,55.0,2.0,12.5,18.78,13.040000000000001
16.0,30.0,0.3,1.4,29.9,0.3
15.0,10.0,6.7,20.5,0.8,0.3
24.0,55.0,0.1,18.3,16.660000000000004,0.5
17.0,36.0,0.1,19.2,16.4,0.5
23.0,33.0,0.8,1.9,19.2,0.5
7.0,10.0,1.8599999999999999,1.4,24.04,0.6
12.0,30.0,0.1,4.6,22.4,1.6
56.0,120.0,0.1,42.0,20.499999999999996,2.6
17.2,25.0,36.96,2.5,20.0,0.3
17.0,26.0,0.1,0.6,10.5,1.9
15.0,21.0,1.7600000000000002,10.6,33.3,2.3399999999999994
10.0,25.0,0.1,6.5,42.4,1.5
78.8,161.0,9.820000000000002,14.780000000000001,72.9,6.519999999999999
60.0,120.0,2.08,35.160000000000004,57.14,6.16
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
13.2,34.0,2.1799999999999997,4.3,27.7,2.1399999999999997
23.0,64.0,6.5,6.0,9.3,2.6
12.0,31.0,2.8,2.8,30.2,0.6
19.0,47.0,2.7,7.1,22.6,0.9
20.0,42.0,1.2799999999999998,26.160000000000004,21.6,1.8400000000000005
14.4,45.0,0.9799999999999999,13.0,28.6,7.720000000000001
10.0,21.0,0.1,5.5,24.4,0.6
11.0,30.0,0.1,17.0,18.36,7.339999999999999
26.0,40.0,1.0,3.8600000000000003,13.0,0.1
11.0,41.0,1.5,3.8,8.0,0.8
21.0,53.0,10.0,34.3,6.4,1.5
11.0,15.0,6.4,3.7,21.0,5.1
27.0,21.0,2.5,12.8,20.3,1.6
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
9.4,12.0,1.5,3.7800000000000002,22.5,8.78
6.2,5.0,1.42,12.14,28.640000000000004,2.74
12.0,25.0,4.9,20.8,20.22,1.8
17.0,26.0,1.2,15.8,6.4,0.9799999999999999
22.0,55.0,0.1,16.0,17.5,1.1
15.0,28.0,4.6,0.9,11.0,0.1
17.0,61.0,0.1,22.3,45.6,5.8
12.2,13.0,5.0,5.2,24.1,0.2
32.0,52.0,0.1,33.6,20.5,0.6
34.0,99.0,1.56,5.0,25.2,0.7
10.8,1.0,0.8799999999999999,1.0,28.9,2.04
9.8,16.0,0.1,13.9,16.1712,0.6
28.6,29.0,7.5,13.24,4.3,1.4
3.0,4.0,0.1,0.2,10.5,0.4
20.0,55.0,2.2600000000000002,12.4,22.8,0.8800000000000001
12.0,16.0,2.06,6.5,0.1,0.8800000000000001
28.0,68.0,2.2,16.2,1.6,10.92
12.0,25.0,5.9,29.1,27.4,3.9
40.0,76.0,6.4,18.8,45.5,4.1
21.0,28.0,1.2,1.0,18.4,1.06
29.0,56.0,0.1,19.6,33.1,8.8
9.0,1.0,3.4,9.3,37.6,1.5
10.8,17.0,1.9,4.2,30.4,0.2
16.0,30.0,2.1,1.7,47.2,0.3
11.0,23.0,0.1,9.2,1.7,2.04
11.0,34.0,0.1,4.6,18.58,2.6599999999999993
48.0,39.0,0.1,10.3,12.0,2.0
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
11.2,23.4,6.6,4.859999999999999,14.1,0.64
85.0,89.0,3.7,9.6,47.6,3.1
15.0,35.0,0.1,10.7,17.979999999999997,2.3
31.0,73.0,5.2,7.8,22.1,4.2
40.8,102.0,2.04,6.4,22.12,2.3599999999999994
18.8,61.0,2.8,9.72,35.86,4.359999999999999
11.0,34.0,0.2,6.1,26.4,0.7
15.0,34.0,2.8,2.8,40.7,3.1
10.0,21.0,0.1,2.8,28.1,2.78
20.0,46.0,0.1,24.7,31.3,1.7399999999999998
20.0,33.0,1.3,6.9,23.2,0.33999999999999997
14.0,27.4,2.8,1.9,17.48,1.02
14.0,22.0,0.1,8.7,28.1,1.1
10.0,20.0,12.7,1.6,20.98,1.0
16.0,42.0,5.3,6.3,6.6,3.6
6.0,6.0,2.0799999999999996,3.78,20.919999999999998,2.7399999999999998
12.0,23.0,2.7,2.3,31.0,0.4
11.0,27.0,1.2,9.7,28.9,0.8
79.0,117.0,3.7,6.1,63.3,6.3
16.0,30.0,0.3,1.4,29.9,0.3
24.0,55.0,0.1,18.3,16.660000000000004,0.5
17.0,36.0,0.1,19.2,16.4,0.5
15.0,10.0,6.7,20.5,0.8,0.3
17.0,49.0,0.5599999999999999,1.5,16.86,1.48
