pm10,pm2_5,co,no2,o3,so2
17.0,39.0,2.3,10.2,20.2,1.5
5.0,13.0,2.3,3.2,27.3,1.5
10.0,42.0,2.0,3.1,0.7,0.1
16.0,13.0,2.3,6.4,24.8,1.5
6.0,13.0,2.3,9.3,16.8,0.3
17.0,57.0,2.2,10.6,21.6,0.6
7.0,17.0,2.3,3.7,28.1,0.6
9.0,13.0,2.3,6.5,21.6,1.5
14.0,30.0,2.8,1.9,21.6,1.5
16.0,57.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,11.4,1.5
16.0,35.0,2.3,6.5,21.6,1.5
16.0,33.0,2.3,6.5,21.6,0.2
46.0,70.0,7.9,24.5,63.6,5.0
18.0,50.0,8.8,5.5,9.9,3.4
16.0,6.0,2.3,6.5,21.6,1.5
19.0,24.0,2.3,6.5,36.1,1.5
4.0,11.0,1.2,5.6,16.0,1.8
12.0,23.0,2.7,2.3,31.0,0.4
11.0,27.0,1.2,9.7,28.9,0.8
79.0,117.0,3.7,6.1,63.3,6.3
23.0,55.0,2.3,12.5,21.6,1.5
28.0,62.0,2.3,23.9,23.3,1.5
17.0,26.0,2.3,6.5,21.6,0.2
23.0,55.0,2.3,12.5,21.6,1.5
16.0,30.0,0.3,1.4,29.9,0.3
16.0,17.0,2.3,1.0,26.4,1.5
24.0,55.0,0.1,18.3,21.6,0.5
15.0,10.0,6.7,20.5,0.8,0.3
17.0,36.0,0.1,19.2,16.4,0.5
15.0,53.0,4.5,6.5,42.4,1.5
16.0,35.0,2.3,6.5,8.2,1.5
17.0,49.0,2.3,1.5,21.6,1.5
60.0,55.0,3.4,3.1,21.6,1.5
16.0,34.0,2.3,6.5,16.8,1.5
16.0,34.0,2.3,8.3,21.2,1.5
16.0,57.0,2.3,6.5,21.6,1.5
13.0,16.0,0.1,11.5,27.0,2.6
32.0,72.0,2.3,6.5,19.2,3.8
16.0,9.0,2.3,2.8,28.1,1.5
16.0,8.0,1.0,1.1,14.2,0.1
12.0,30.0,0.1,4.6,22.4,1.6
56.0,120.0,0.1,42.0,21.6,1.5
33.0,80.0,5.5,11.9,21.6,5.1
16.0,30.0,2.3,2.5,20.0,0.3
11.0,75.0,6.7,44.0,6.2,1.8
13.0,30.0,0.6,6.5,21.6,2.9
9.0,18.0,0.1,0.5,11.4,0.2
16.0,30.0,2.3,2.5,20.0,0.3
13.0,30.0,0.6,6.5,21.6,2.9
39.0,72.0,2.8,33.0,2.0,1.1
22.0,27.0,2.3,1.1,3.7,0.4
23.0,21.0,5.7,2.4,40.1,1.5
16.0,30.0,2.3,6.5,5.3,1.5
16.0,161.0,2.3,6.5,21.6,1.5
16.0,120.0,2.3,6.5,21.6,1.5
16.0,93.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,21.6,1.5
16.0,34.0,2.3,6.5,21.6,1.5
23.0,64.0,6.5,6.0,9.3,2.6
7.0,13.0,2.3,20.4,15.1,2.1
4.0,13.0,0.1,6.5,32.7,1.0
12.0,33.0,2.3,3.1,29.4,0.6
18.0,49.0,1.9,7.6,21.5,0.7
13.0,25.0,2.3,6.1,19.7,1.5
20.0,42.0,2.3,6.5,21.6,1.5
16.0,45.0,2.3,8.4,28.6,1.5
10.0,21.0,0.1,5.5,24.4,0.6
16.0,30.0,2.3,6.5,21.6,1.5
11.0,41.0,1.5,3.8,8.0,0.8
21.0,53.0,10.0,34.3,6.4,1.5
26.0,40.0,1.0,6.5,13.0,0.1
11.0,30.0,0.1,17.0,21.6,1.5
16.0,19.0,2.3,6.5,21.6,1.5
16.0,15.0,6.4,3.7,21.0,5.1
110.0,93.0,1.3,1.6,11.6,14.9
16.0,30.0,2.3,6.5,21.6,1.5
16.0,12.0,2.3,6.5,21.6,1.5
16.0,5.0,2.3,6.5,21.6,1.5
12.0,25.0,2.3,6.5,21.6,1.5
16.0,26.0,1.2,15.8,6.4,1.5
16.0,13.0,2.3,3.1,31.2,0.2
22.0,55.0,2.3,16.0,17.5,1.1
7.0,18.0,2.3,1.0,21.6,1.5
17.0,61.0,0.1,22.3,45.6,5.8
16.0,13.0,5.0,5.2,24.1,0.2
32.0,52.0,0.1,33.6,20.5,0.6
23.0,48.0,2.3,6.4,21.6,1.5
16.0,30.0,2.3,6.5,32.8,1.5
8.0,5.0,1.2,4.7,28.1,1.5
16.0,1.0,2.3,0.6,28.9,1.5
34.0,99.0,2.3,5.0,25.2,0.7
16.0,29.0,7.5,6.5,4.3,1.4
3.0,4.0,0.1,0.2,10.5,0.4
29.0,56.0,5.6,28.2,4.8,0.2
20.0,55.0,2.3,12.4,22.8,1.5
12.0,16.0,2.3,6.5,0.1,1.5
1.0,5.0,2.3,18.6,29.4,3.4
16.0,30.0,2.3,6.5,21.6,1.5
20.0,38.0,2.3,7.5,12.8,1.5
16.0,21.0,3.4,7.1,17.6,1.5
28.0,68.0,2.2,16.2,1.6,1.5
5.0,99.0,1.9,7.8,13.0,1.5
16.0,38.0,2.3,30.6,21.6,1.5
12.0,25.0,5.9,29.1,27.4,3.9
40.0,76.0,6.4,18.8,45.5,4.1
20.0,27.0,1.2,1.0,18.4,1.5
29.0,56.0,2.3,19.6,33.1,8.8
16.0,30.0,2.3,6.5,21.6,1.5
9.0,1.0,3.4,9.3,37.6,1.5
16.0,17.0,1.9,4.2,30.4,0.2
16.0,30.0,2.1,1.7,47.2,0.3
16.0,23.0,0.1,9.2,1.7,1.5
16.0,48.0,0.1,7.0,3.9,0.5
11.0,34.0,0.1,4.6,21.6,1.5
48.0,39.0,0.1,10.3,12.0,2.0
16.0,30.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,14.1,1.5
64.0,95.0,5.5,6.4,21.6,5.1
85.0,89.0,3.7,9.6,47.6,3.1
10.0,1.0,3.4,7.5,36.8,4.3
15.0,35.0,0.1,10.7,21.6,2.3
24.0,42.0,2.3,26.9,16.7,1.5
10.0,20.0,3.0,4.0,26.8,0.2
49.0,62.0,2.3,14.7,14.7,0.6
34.0,17.0,2.3,13.8,21.6,7.6
16.0,61.0,2.3,6.5,21.6,1.5
23.0,21.0,5.7,2.4,40.1,1.5
35.0,70.0,4.4,18.9,3.9,3.5
16.0,13.0,2.3,6.4,24.8,1.5
10.0,20.0,12.7,1.6,21.6,1.0
16.0,33.0,2.3,6.5,21.6,0.2
16.0,38.0,2.3,6.5,21.6,1.5
18.0,50.0,8.8,5.5,9.9,3.4
16.0,6.0,2.3,6.5,21.6,1.5
12.0,23.0,2.7,2.3,31.0,0.4
11.0,27.0,1.2,9.7,28.9,0.8
79.0,117.0,3.7,6.1,63.3,6.3
23.0,55.0,2.3,12.5,21.6,1.5
16.0,30.0,0.3,1.4,29.9,0.3
15.0,10.0,6.7,20.5,0.8,0.3
24.0,55.0,0.1,18.3,21.6,0.5
17.0,36.0,0.1,19.2,16.4,0.5
23.0,33.0,0.8,1.9,19.2,0.5
7.0,10.0,2.3,1.4,21.6,0.6
12.0,30.0,0.1,4.6,22.4,1.6
56.0,120.0,0.1,42.0,21.6,1.5
16.0,30.0,2.3,2.5,20.0,0.3
17.0,26.0,0.1,0.6,10.5,1.9
15.0,21.0,2.3,10.6,33.3,1.5
10.0,25.0,0.1,6.5,42.4,1.5
16.0,161.0,2.3,6.5,21.6,1.5
16.0,120.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,21.6,1.5
16.0,34.0,2.3,6.5,21.6,1.5
23.0,64.0,6.5,6.0,9.3,2.6
12.0,31.0,2.3,2.8,30.2,0.6
19.0,47.0,2.7,7.1,22.6,0.9
20.0,42.0,2.3,6.5,21.6,1.5
16.0,45.0,2.3,13.0,28.6,1.5
10.0,21.0,0.1,5.5,24.4,0.6
11.0,30.0,0.1,17.0,21.6,1.5
26.0,40.0,1.0,6.5,13.0,0.1
11.0,41.0,1.5,3.8,8.0,0.8
21.0,53.0,10.0,34.3,6.4,1.5
16.0,15.0,6.4,3.7,21.0,5.1
27.0,21.0,2.5,12.8,20.3,1.6
16.0,30.0,2.3,6.5,21.6,1.5
16.0,12.0,2.3,6.5,21.6,1.5
16.0,5.0,2.3,6.5,21.6,1.5
12.0,25.0,2.3,6.5,21.6,1.5
16.0,26.0,1.2,15.8,6.4,1.5
22.0,55.0,2.3,16.0,17.5,1.1
15.0,28.0,4.6,0.9,11.0,0.1
17.0,61.0,0.1,22.3,45.6,5.8
16.0,13.0,5.0,5.2,24.1,0.2
32.0,52.0,0.1,33.6,20.5,0.6
34.0,99.0,2.3,5.0,25.2,0.7
16.0,1.0,2.3,1.0,28.9,1.5
16.0,16.0,0.1,13.9,16.1712,0.6
16.0,29.0,7.5,6.5,4.3,1.4
3.0,4.0,0.1,0.2,10.5,0.4
20.0,55.0,2.3,12.4,22.8,1.5
12.0,16.0,2.3,6.5,0.1,1.5
28.0,68.0,2.2,16.2,1.6,1.5
12.0,25.0,5.9,29.1,27.4,3.9
40.0,76.0,6.4,18.8,45.5,4.1
21.0,28.0,1.2,1.0,18.4,1.5
29.0,56.0,2.3,19.6,33.1,8.8
9.0,1.0,3.4,9.3,37.6,1.5
16.0,17.0,1.9,4.2,30.4,0.2
16.0,30.0,2.1,1.7,47.2,0.3
16.0,23.0,0.1,9.2,1.7,1.5
