pm10,pm2_5,co,no2,o3,so2,cluster
9.0,13.0,2.2,7.1499999999999995,28.1,0.6,2
14.0,15.0,2.8,1.9,28.1,0.6,2
11.5,57.0,2.8,1.9,,,0
14.0,57.0,2.8,1.9,11.4,,2
,35.0,,,11.4,,2
,33.0,,,21.6,0.2,1
46.0,70.0,7.9,24.5,63.6,5.0,4
18.0,50.0,8.8,5.5,9.9,3.4,4
32.0,6.0,8.350000000000001,15.0,36.75,4.2,2
19.0,24.0,8.8,5.5,36.1,3.4,1
4.0,11.0,1.2,5.6,16.0,1.8,2
12.0,23.0,2.7,2.3,31.0,0.4,1
11.0,27.0,1.2,9.7,28.9,0.8,1
79.0,117.0,3.7,6.1,63.3,6.3,3
23.0,55.0,2.450000000000001,12.5,46.099999999999994,3.55,0
28.0,62.0,3.7,23.9,23.3,6.3,0
17.0,26.0,,18.2,23.3,0.2,2
23.0,55.0,,12.5,23.3,0.2,0
16.0,30.0,0.3,1.4,29.9,0.3,4
19.5,17.0,0.3,1.0,26.4,1.5,1
24.0,55.0,0.1,18.3,28.149999999999995,0.5,0
15.0,10.0,6.7,20.5,0.8,0.3,2
17.0,36.0,0.1,19.2,16.4,0.5,4
15.0,53.0,4.5,6.5,42.4,1.5,4
16.0,35.0,2.3000000000000003,12.85,8.2,0.9999999999999999,2
17.0,49.0,4.5,1.5,25.29999999999999,1.5,4
60.0,55.0,3.4,3.1,8.2,,0
38.5,34.0,3.4,2.3,16.8,,4
16.0,34.0,3.4,8.3,21.2,,4
16.0,57.0,,8.3,18.999999999999996,,0
13.0,16.0,0.1,11.5,27.0,2.6,1
32.0,72.0,0.1,11.5,19.2,3.8,0
22.5,9.0,0.1,2.8,28.1,3.2,1
32.0,8.0,1.0,1.1,14.2,0.1,2
12.0,30.0,0.1,4.6,22.4,1.6,4
56.0,120.0,0.1,42.0,18.29999999999999,0.8500000000000003,3
33.0,80.0,5.5,11.9,22.4,5.1,0
44.5,100.0,2.800000000000001,2.5,20.0,0.3,1
11.0,75.0,6.7,44.0,6.2,1.8,0
13.0,30.0,0.6,23.250000000000004,13.099999999999996,2.9,2
9.0,18.0,0.1,0.5,11.4,0.2,2
11.0,24.0,0.350000000000001,2.5,20.0,0.3,1
13.0,30.0,0.6,1.5000000000000036,15.699999999999998,2.9,2
39.0,72.0,2.8,33.0,2.0,1.1,0
22.0,27.0,1.7000000000000008,1.1,3.7,0.4,2
23.0,21.0,5.7,2.4,40.1,0.7500000000000002,1
22.5,24.0,5.7,1.7500000000000036,5.3,0.4,2
23.0,161.0,5.7,2.4,22.699999999999996,,3
,120.0,,,5.3,,0
,93.0,,,,,0
,106.5,,,,,2
,34.0,,,,,2
23.0,64.0,6.5,6.0,9.3,2.6,0
7.0,13.0,6.5,20.4,15.1,2.1,2
4.0,13.0,0.1,13.200000000000003,32.7,1.0,1
12.0,33.0,0.1,3.1,29.4,0.6,4
18.0,49.0,1.9,7.6,21.5,0.7,4
13.0,25.0,1.9,6.1,19.7,0.6499999999999999,1
20.0,42.0,1.9,6.850000000000002,21.6,0.7,4
16.5,45.0,,8.4,28.6,,4
10.0,21.0,0.1,5.5,24.4,0.6,1
10.0,33.0,0.1,6.950000000000004,26.5,0.6,2
11.0,41.0,1.5,3.8,8.0,0.8,4
21.0,53.0,10.0,34.3,6.4,1.5,0
26.0,40.0,1.0,19.050000000000004,13.0,0.1,4
11.0,30.0,0.1,17.0,9.699999999999996,0.7999999999999999,2
18.5,19.0,0.5500000000000007,17.0,13.0,0.1,2
11.0,15.0,6.4,3.7,21.0,5.1,1
110.0,93.0,1.3,1.6,11.6,14.9,3
110.0,54.0,3.850000000000001,2.6500000000000075,16.299999999999997,10.0,2
110.0,12.0,1.3,1.6,11.6,14.9,2
,5.0,,,,,2
12.0,25.0,,,,,2
12.0,26.0,1.2,15.8,6.4,,2
12.0,13.0,1.2,3.1,31.2,0.2,1
22.0,55.0,1.2,16.0,17.5,1.1,4
7.0,18.0,2.3,1.0,24.349999999999998,0.65,2
17.0,61.0,0.1,22.3,45.6,5.8,4
12.0,13.0,5.0,5.2,24.1,0.2,1
32.0,52.0,0.1,33.6,20.5,0.6,4
23.0,48.0,2.550000000000001,6.4,22.299999999999994,0.39999999999999947,4
27.5,50.0,0.1,20.000000000000004,32.8,0.6,1
8.0,5.0,1.2,4.7,28.1,,1
8.0,1.0,1.2,0.6,28.9,,1
34.0,99.0,1.2,5.0,25.2,0.7,0
34.0,29.0,7.5,2.800000000000004,4.3,1.4,2
3.0,4.0,0.1,0.2,10.5,0.4,2
29.0,56.0,5.6,28.2,4.8,0.2,0
20.0,55.0,2.8500000000000014,12.4,22.8,0.2999999999999996,4
12.0,16.0,5.6,6.5,0.1,0.2,2
1.0,5.0,2.3,18.6,29.4,3.4,1
6.5,10.5,2.3,12.550000000000004,14.749999999999991,3.4,2
20.0,38.0,2.3,7.5,12.8,3.4,4
20.0,21.0,3.4,7.1,17.6,,1
28.0,68.0,2.2,16.2,1.6,,0
5.0,99.0,1.9,7.8,13.0,,0
16.5,38.0,2.0500000000000016,30.6,7.299999999999994,,2
12.0,25.0,5.9,29.1,27.4,3.9,1
40.0,76.0,6.4,18.8,45.5,4.1,0
20.0,27.0,1.2,1.0,18.4,3.999999999999999,4
29.0,56.0,3.8000000000000007,19.6,33.1,8.8,4
24.5,41.5,1.2,10.300000000000006,25.749999999999993,8.8,2
9.0,1.0,3.4,9.3,37.6,1.5,1
9.0,17.0,1.9,4.2,30.4,0.2,1
16.0,30.0,2.1,1.7,47.2,0.3,1
16.0,23.0,0.1,9.2,1.7,0.2499999999999991,2
16.0,48.0,0.1,7.0,3.9,0.5,4
11.0,34.0,0.1,4.6,2.7999999999999936,0.5,2
48.0,39.0,0.1,10.3,12.0,2.0,4
29.5,36.5,0.1,7.450000000000006,12.0,2.0,2
48.0,39.0,0.1,10.3,14.1,2.0,2
64.0,95.0,5.5,6.4,14.1,5.1,0
85.0,89.0,3.7,9.6,47.6,3.1,3
10.0,1.0,3.4,7.5,36.8,4.3,1
15.0,35.0,0.1,10.7,42.19999999999999,2.3,2
24.0,42.0,1.7500000000000009,26.9,16.7,3.3,4
10.0,20.0,3.0,4.0,26.8,0.2,1
49.0,62.0,3.0,14.7,14.7,0.6,0
34.0,17.0,3.0,13.8,20.749999999999993,7.6,2
41.5,61.0,,14.250000000000007,14.7,4.1,0
23.0,21.0,5.7,2.4,40.1,7.6,1
35.0,70.0,4.4,18.9,3.9,3.5,0
16.0,13.0,5.050000000000001,6.4,24.8,3.5,1
10.0,20.0,12.7,1.6,14.34999999999999,1.0,2
13.0,33.0,12.7,4.000000000000005,21.6,0.2,1
10.0,38.0,12.7,1.6,21.6,0.5999999999999991,2
18.0,50.0,8.8,5.5,9.9,3.4,4
18.0,6.0,8.8,5.5,9.9,3.4,2
12.0,23.0,2.7,2.3,31.0,0.4,1
11.0,27.0,1.2,9.7,28.9,0.8,1
79.0,117.0,3.7,6.1,63.3,6.3,3
23.0,55.0,2.450000000000001,12.5,46.09999999999999,3.549999999999999,0
16.0,30.0,0.3,1.4,29.9,0.3,4
15.0,10.0,6.7,20.5,0.8,0.3,2
24.0,55.0,0.1,18.3,15.349999999999989,0.5,0
17.0,36.0,0.1,19.2,16.4,0.5,4
23.0,33.0,0.8,1.9,19.2,0.5,4
7.0,10.0,0.4500000000000009,1.4,17.79999999999999,0.6,2
12.0,30.0,0.1,4.6,22.4,1.6,4
56.0,120.0,0.1,42.0,22.4,1.0999999999999992,3
34.0,75.0,0.1,2.5,20.0,0.3,1
17.0,26.0,0.1,0.6,10.5,1.9,2
15.0,21.0,0.1,10.6,33.3,1.0999999999999992,1
10.0,25.0,0.1,6.5,42.4,1.5,1
12.5,161.0,0.1,8.550000000000006,37.84999999999999,1.5,3
10.0,120.0,0.1,6.5,42.4,1.5,0
,140.5,,,,,2
,34.0,,,,,2
23.0,64.0,6.5,6.0,9.3,2.6,0
12.0,31.0,6.5,2.8,30.2,0.6,4
19.0,47.0,2.7,7.1,22.6,0.9,4
20.0,42.0,2.7,4.950000000000006,21.6,0.7499999999999989,4
19.5,45.0,2.7,13.0,28.6,0.9,4
10.0,21.0,0.1,5.5,24.4,0.6,1
11.0,30.0,0.1,17.0,26.49999999999999,0.6,2
26.0,40.0,1.0,11.250000000000007,13.0,0.1,4
11.0,41.0,1.5,3.8,8.0,0.8,4
21.0,53.0,10.0,34.3,6.4,1.5,0
16.0,15.0,6.4,3.7,21.0,5.1,1
27.0,21.0,2.5,12.8,20.3,1.6,4
27.0,18.0,4.450000000000001,8.250000000000007,20.649999999999988,3.3499999999999988,2
27.0,12.0,2.5,12.8,20.3,1.6,2
,5.0,,,,,2
12.0,25.0,,,,,2
12.0,26.0,1.2,15.8,6.4,,2
22.0,55.0,1.2,16.0,17.5,1.1,4
15.0,28.0,4.6,0.9,11.0,0.1,2
17.0,61.0,0.1,22.3,45.6,5.8,4
16.0,13.0,5.0,5.2,24.1,0.2,1
32.0,52.0,0.1,33.6,20.5,0.6,4
34.0,99.0,2.5500000000000007,5.0,25.2,0.7,0
33.0,1.0,0.1,1.0,28.9,0.6499999999999991,1
34.0,16.0,0.1,13.9,16.1712,0.6,1
,29.0,7.5,7.450000000000006,4.3,1.4,2
3.0,4.0,0.1,0.2,10.5,0.4,2
20.0,55.0,3.8000000000000007,12.4,22.8,0.899999999999999,4
12.0,16.0,0.1,6.5,0.1,0.4,2
28.0,68.0,2.2,16.2,1.6,,0
12.0,25.0,5.9,29.1,27.4,3.9,1
40.0,76.0,6.4,18.8,45.5,4.1,0
21.0,28.0,1.2,1.0,18.4,3.999999999999999,4
29.0,56.0,3.800000000000001,19.6,33.1,8.8,4
9.0,1.0,3.4,9.3,37.6,1.5,1
19.0,17.0,1.9,4.2,30.4,0.2,1
16.0,30.0,2.1,1.7,47.2,0.3,1
16.0,23.0,0.1,9.2,1.7,0.2499999999999991,2
11.0,34.0,0.1,4.6,24.44999999999999,0.3,2
48.0,39.0,0.1,10.3,12.0,2.0,4
29.5,36.5,0.1,7.450000000000005,12.0,2.0,2
48.0,39.0,0.1,10.3,14.1,2.0,2
85.0,89.0,3.7,9.6,47.6,3.1,3
15.0,35.0,0.1,10.7,30.849999999999987,2.3,2
31.0,73.0,5.2,7.8,22.1,4.2,0
23.0,102.0,2.650000000000001,9.250000000000004,22.1,3.249999999999999,0
31.0,61.0,5.2,7.8,22.1,4.2,0
11.0,34.0,,6.1,26.4,0.7,4
15.0,34.0,2.8,2.8,40.7,3.1,4
10.0,21.0,0.1,2.8,28.1,1.899999999999999,1
20.0,46.0,0.1,24.7,31.3,3.1,4
20.0,33.0,0.1,6.9,23.2,,4
14.0,39.5,2.8,1.9,27.249999999999982,,2
14.0,22.0,0.1,8.7,28.1,1.1,1
10.0,20.0,12.7,1.6,28.1,1.0,2
16.0,42.0,5.3,6.3,6.6,3.6,4
13.0,6.0,9.000000000000002,3.9500000000000046,6.6,2.3,2
12.0,23.0,2.7,2.3,31.0,0.4,1
11.0,27.0,1.2,9.7,28.9,0.8,1
79.0,117.0,3.7,6.1,63.3,6.3,3
16.0,30.0,2.450000000000001,1.4,29.9,0.3,4
24.0,55.0,0.1,18.3,46.59999999999998,0.5,0
17.0,36.0,0.1,19.2,16.4,0.5,4
15.0,10.0,6.7,20.5,0.8,0.3,2
17.0,49.0,3.4000000000000012,1.5,8.599999999999985,0.3999999999999996,4
16.0,34.0,6.7,11.000000000000002,16.8,0.3,4
60.0,55.0,3.5,3.1,16.8,,0
12.0,30.0,0.1,4.6,22.4,1.6,4
56.0,120.0,0.1,42.0,22.4,1.6,3
34.0,75.0,0.1,2.5,20.0,0.3,1
13.0,30.0,0.6,22.25,20.0,2.9,2
17.0,26.0,0.1,0.6,10.5,1.9,2
15.0,42.0,0.3500000000000009,0.6,10.5,2.3999999999999995,2
17.0,120.0,0.1,0.6,10.5,1.9,0
,81.0,,,,,2
,34.0,,,,,2
23.0,64.0,6.5,6.0,9.3,2.6,0
4.0,13.0,0.1,6.0,31.9,1.0,1
12.0,31.0,3.3000000000000007,2.8,30.2,0.6,4
8.0,45.0,0.1,13.0,28.6,0.7999999999999996,4
29.0,30.0,0.1,7.8,12.4,1.6,4
29.0,37.5,0.1,10.4,20.49999999999999,1.6,2
